,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
132,Toronto W10,91,"$29,275,588","$321,710","$360,000",141,57.1%,219,2.9,99%,20,12,4
133,Toronto Central,"1,762","$1,198,313,233","$680,087","$483,600","3,132",57.3%,"3,707",2.2,100%,22,12,4
134,Toronto C01,445,"$210,562,154","$473,173","$397,000",886,52.6%,"1,152",2.7,100%,24,12,4
135,Toronto C02,72,"$74,132,529","$1,029,618","$880,000",144,53.1%,243,3.0,99%,26,12,4
136,Toronto C03,61,"$63,562,898","$1,042,015","$605,000",101,59.9%,115,2.1,100%,19,12,4
137,Toronto C04,116,"$134,704,477","$1,161,245","$1,093,000",199,59.8%,202,1.9,102%,16,12,4
138,Toronto C06,48,"$32,998,271","$687,464","$695,250",54,63.0%,61,2.0,101%,22,12,4
139,Toronto C07,135,"$79,174,148","$586,475","$471,000",254,60.0%,261,1.9,100%,20,12,4
140,Toronto C08,165,"$72,628,340","$440,172","$404,500",282,61.3%,342,2.0,100%,23,12,4
141,Toronto C09,43,"$48,194,800","$1,120,809","$606,000",63,60.2%,77,2.4,95%,31,12,4
142,Toronto C10,76,"$53,236,160","$700,476","$675,000",120,66.9%,93,1.5,104%,12,12,4
143,Toronto C11,55,"$43,400,099","$789,093","$670,000",76,65.3%,77,1.8,101%,22,12,4
144,Toronto C12,43,"$75,565,700","$1,757,342","$1,550,000",84,53.2%,144,3.3,99%,23,12,4
145,Toronto C13,112,"$61,851,890","$552,249","$452,500",140,65.8%,134,1.7,102%,21,12,4
146,Toronto C14,196,"$136,286,706","$695,340","$495,750",409,57.3%,442,1.8,101%,18,12,4
147,Toronto C15,195,"$112,015,061","$574,436","$428,000",320,55.1%,364,2.1,101%,25,12,4
148,Toronto East,"1,177","$526,717,168","$447,508","$423,000","1,635",62.5%,"1,559",1.8,102%,20,12,4
149,Toronto E01,105,"$61,777,224","$588,355","$572,000",135,63.4%,110,1.5,107%,15,12,4
150,Toronto E02,96,"$69,179,300","$720,618","$632,400",148,64.8%,102,1.2,103%,13,12,4
151,Toronto E03,116,"$64,267,015","$554,026","$516,740",168,64.7%,124,1.4,105%,16,12,4
152,Toronto E04,139,"$49,887,390","$358,902","$380,000",192,61.5%,203,2.0,100%,26,12,4
153,Toronto E05,131,"$54,483,009","$415,901","$375,000",152,73.2%,130,1.3,101%,17,12,4
154,Toronto E06,61,"$30,796,230","$504,856","$441,000",79,62.3%,49,1.5,102%,14,12,4
155,Toronto E07,113,"$42,013,127","$371,798","$318,000",149,60.0%,164,2.2,101%,23,12,4
156,Toronto E08,70,"$26,948,311","$384,976","$391,400",123,57.3%,145,2.4,99%,26,12,4
157,Toronto E09,145,"$48,135,657","$331,970","$338,800",219,58.9%,253,2.2,100%,24,12,4
158,Toronto E10,79,"$37,127,450","$469,968","$455,000",103,62.0%,93,1.9,100%,17,12,4
159,Toronto E11,122,"$42,102,455","$345,102","$343,250",167,60.1%,186,2.3,100%,20,12,4
160,TREB Total,"10,850","$5,607,133,659","$516,787","$432,050","19,177",60.0%,"20,462",2.2,99%,21,12,5
161,City of Toronto Total,"4,130","$2,349,011,252","$568,768","$446,000","7,956",58.0%,"8,376",2.2,100%,20,12,5
162,Toronto West,"1,087","$547,476,489","$503,658","$438,000","1,877",58.2%,"2,180",2.5,101%,21,12,5
163,Toronto W01,86,"$54,069,686","$628,717","$580,000",171,58.3%,156,2.1,104%,14,12,5
164,Toronto W02,137,"$87,111,204","$635,848","$631,000",182,67.9%,120,1.2,103%,13,12,5
165,Toronto W03,81,"$32,221,690","$397,799","$385,000",116,64.0%,111,1.9,102%,21,12,5
166,Toronto W04,108,"$44,461,899","$411,684","$397,500",182,60.1%,205,2.6,99%,21,12,5
167,Toronto W05,135,"$45,819,700","$339,405","$370,000",236,56.3%,314,3.1,99%,26,12,5
168,Toronto W06,138,"$63,420,920","$459,572","$439,500",317,47.7%,440,3.3,99%,26,12,5
169,Toronto W07,49,"$33,655,300","$686,843","$640,000",58,68.6%,43,1.4,103%,13,12,5
170,Toronto W08,205,"$132,688,604","$647,261","$540,000",332,60.6%,415,2.3,99%,23,12,5
