,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month
2322,Toronto West,811,"$545,793,959","$672,989","$598,000","1,061",70.4%,"1,008",1.4,103%,18,16,11
2323,Toronto W01,48,"$33,277,772","$693,287","$507,000",64,73.8%,57,1.3,106%,16,16,11
2324,Toronto W02,61,"$53,344,243","$874,496","$815,001",88,75.2%,56,0.9,108%,16,16,11
2325,Toronto W03,60,"$38,733,016","$645,550","$658,500",71,75.5%,47,0.9,104%,11,16,11
2326,Toronto W04,74,"$44,476,989","$601,040","$632,500",104,67.3%,106,1.5,102%,19,16,11
2327,Toronto W05,123,"$62,789,888","$510,487","$545,000",156,67.3%,165,1.8,101%,22,16,11
2328,Toronto W06,129,"$80,560,031","$624,496","$489,888",211,63.9%,239,2.0,103%,19,16,11
2329,Toronto W07,42,"$46,365,200","$1,103,933","$1,053,500",44,71.9%,26,1.1,106%,13,16,11
2330,Toronto W08,156,"$128,581,801","$824,242","$558,000",173,74.5%,166,1.4,101%,17,16,11
2331,Toronto W09,45,"$25,797,020","$573,267","$622,100",43,74.8%,40,1.2,101%,20,16,11
2332,Toronto W10,73,"$31,867,999","$436,548","$380,000",107,69.9%,106,1.3,100%,23,16,11
2333,Toronto Central,"1,740","$1,567,801,539","$901,035","$552,891","1,986",67.1%,"1,874",1.7,102%,19,16,11
2334,Toronto C01,538,"$319,278,209","$593,454","$476,652",576,66.2%,554,1.8,101%,19,16,11
2335,Toronto C02,71,"$107,848,256","$1,518,990","$1,330,000",122,54.5%,150,2.6,100%,18,16,11
2336,Toronto C03,64,"$90,357,254","$1,411,832","$927,000",82,65.0%,60,1.6,103%,15,16,11
2337,Toronto C04,81,"$145,987,028","$1,802,309","$1,715,000",113,66.6%,101,1.3,103%,17,16,11
2338,Toronto C06,42,"$35,255,010","$839,405","$575,250",50,73.4%,37,1.2,106%,14,16,11
2339,Toronto C07,127,"$110,108,639","$866,997","$600,000",162,67.6%,143,1.5,100%,20,16,11
2340,Toronto C08,181,"$100,948,944","$557,729","$491,000",212,68.9%,195,1.6,101%,18,16,11
2341,Toronto C09,33,"$43,984,300","$1,332,858","$890,000",36,67.6%,36,1.8,101%,23,16,11
2342,Toronto C10,64,"$53,927,124","$842,611","$671,995",78,67.8%,57,1.3,105%,17,16,11
2343,Toronto C11,48,"$39,921,337","$831,695","$515,500",57,75.3%,31,1.1,104%,14,16,11
2344,Toronto C12,38,"$108,437,952","$2,853,630","$2,672,000",46,63.8%,79,2.3,101%,34,16,11
2345,Toronto C13,80,"$87,799,069","$1,097,488","$727,500",85,73.5%,69,1.2,110%,18,16,11
2346,Toronto C14,214,"$188,313,301","$879,969","$489,000",193,66.7%,206,1.7,100%,22,16,11
2347,Toronto C15,159,"$135,635,116","$853,051","$460,000",174,70.2%,156,1.5,102%,21,16,11
2348,Toronto East,825,"$554,988,858","$672,714","$656,000","1,026",73.8%,676,1.0,105%,15,16,11
2349,Toronto E01,78,"$67,778,176","$868,951","$894,000",95,77.1%,35,0.7,110%,10,16,11
2350,Toronto E02,52,"$49,058,513","$943,433","$800,500",76,75.2%,54,0.9,106%,11,16,11
2351,Toronto E03,84,"$68,700,625","$817,865","$783,250",114,76.3%,66,0.7,108%,12,16,11
2352,Toronto E04,86,"$52,891,000","$615,012","$658,000",113,72.7%,72,1.0,105%,15,16,11
2353,Toronto E05,104,"$72,073,777","$693,017","$715,000",110,72.3%,69,1.0,108%,15,16,11
2354,Toronto E06,29,"$23,942,700","$825,610","$760,000",57,65.5%,33,0.9,104%,10,16,11
2355,Toronto E07,109,"$60,578,740","$555,768","$533,888",120,70.0%,93,1.3,104%,20,16,11
2356,Toronto E08,49,"$30,656,778","$625,649","$615,000",80,74.7%,57,1.0,101%,14,16,11
2357,Toronto E09,114,"$55,426,844","$486,200","$450,000",111,76.8%,80,1.1,101%,16,16,11
2358,Toronto E10,53,"$40,280,600","$760,011","$751,000",80,70.6%,63,1.1,103%,15,16,11
2359,Toronto E11,67,"$33,601,105","$501,509","$518,000",70,76.8%,54,0.9,100%,17,16,11
2360,TREB Total,"5,338","$3,899,257,117","$730,472","$607,500","4,188",73.3%,"4,746",1.1,101%,20,16,12
2361,City of Toronto Total,"2,105","$1,495,195,673","$710,307","$534,900","1,667",70.1%,"2,012",1.4,102%,21,16,12
2362,Toronto West,542,"$331,020,506","$610,739","$513,500",420,71.1%,560,1.4,101%,24,16,12
2363,Toronto W01,31,"$22,925,094","$739,519","$570,000",18,75.1%,27,1.2,104%,19,16,12
2364,Toronto W02,34,"$27,870,653","$819,725","$801,000",28,75.4%,24,0.9,104%,16,16,12
2365,Toronto W03,29,"$18,092,327","$623,873","$650,000",28,75.7%,23,0.9,103%,19,16,12
2366,Toronto W04,65,"$35,471,500","$545,715","$510,000",44,68.4%,53,1.5,98%,23,16,12
2367,Toronto W05,71,"$37,827,800","$532,786","$560,000",72,67.9%,115,1.7,98%,26,16,12
2368,Toronto W06,114,"$68,289,815","$599,033","$455,250",80,65.3%,142,1.9,100%,26,16,12
2369,Toronto W07,17,"$20,745,000","$1,220,294","$1,225,000",15,72.0%,14,1.1,108%,20,16,12
2370,Toronto W08,89,"$56,616,255","$636,138","$418,000",64,74.4%,77,1.4,103%,24,16,12
2371,Toronto W09,24,"$13,236,049","$551,502","$639,000",20,74.1%,21,1.2,101%,22,16,12
2372,Toronto W10,68,"$29,946,013","$440,383","$325,250",51,71.7%,64,1.3,98%,28,16,12
2373,Toronto Central,"1,082","$855,574,703","$790,734","$518,500",846,67.9%,"1,085",1.6,101%,22,16,12
2374,Toronto C01,340,"$196,446,196","$577,783","$500,000",263,67.3%,346,1.7,101%,22,16,12
2375,Toronto C02,44,"$48,772,761","$1,108,472","$769,000",45,55.0%,108,2.5,100%,20,16,12
2376,Toronto C03,26,"$27,860,968","$1,071,576","$1,010,000",27,65.7%,40,1.5,108%,14,16,12
2377,Toronto C04,36,"$58,961,200","$1,637,811","$1,760,350",38,66.0%,57,1.3,101%,23,16,12
2378,Toronto C06,27,"$23,895,036","$885,001","$730,000",21,75.2%,19,1.1,107%,17,16,12
2379,Toronto C07,90,"$79,531,664","$883,685","$580,500",65,68.5%,75,1.4,100%,25,16,12
2380,Toronto C08,103,"$51,825,384","$503,159","$461,000",100,68.4%,135,1.6,100%,21,16,12
2381,Toronto C09,18,"$19,789,500","$1,099,417","$777,500",13,67.7%,18,1.8,99%,24,16,12
2382,Toronto C10,35,"$29,095,543","$831,301","$607,000",32,68.5%,34,1.3,104%,17,16,12
2383,Toronto C11,25,"$15,512,605","$620,504","$329,900",24,76.4%,18,1.0,102%,18,16,12
2384,Toronto C12,31,"$79,408,800","$2,561,574","$2,510,000",26,64.3%,49,2.1,102%,22,16,12
2385,Toronto C13,54,"$52,204,780","$966,755","$576,500",31,75.7%,26,1.1,109%,15,16,12
2386,Toronto C14,128,"$100,018,478","$781,394","$495,000",64,68.3%,88,1.6,99%,27,16,12
2387,Toronto C15,125,"$72,251,788","$578,014","$406,000",97,70.3%,72,1.4,101%,22,16,12
2388,Toronto East,481,"$308,600,464","$641,581","$632,000",401,74.0%,367,0.9,104%,18,16,12
2389,Toronto E01,27,"$23,647,201","$875,822","$835,000",17,77.3%,18,0.7,107%,14,16,12
2390,Toronto E02,34,"$34,982,609","$1,028,900","$817,520",22,75.5%,25,0.9,105%,14,16,12
2391,Toronto E03,50,"$39,370,100","$787,402","$804,750",34,76.5%,24,0.7,107%,16,16,12
2392,Toronto E04,62,"$30,652,901","$494,402","$533,500",53,73.0%,36,0.9,102%,15,16,12
2393,Toronto E05,48,"$27,996,300","$583,256","$487,900",50,72.5%,55,1.0,104%,24,16,12
2394,Toronto E06,16,"$13,733,900","$858,369","$638,500",17,66.4%,20,0.9,101%,17,16,12
2395,Toronto E07,76,"$43,600,176","$573,687","$473,750",55,71.2%,37,1.2,103%,19,16,12
2396,Toronto E08,36,"$24,209,377","$672,483","$658,500",28,76.2%,31,0.9,101%,18,16,12
2397,Toronto E09,55,"$27,873,900","$506,798","$445,000",41,76.3%,36,1.0,102%,20,16,12
2398,Toronto E10,31,"$19,585,001","$631,774","$689,900",40,69.5%,44,1.1,104%,16,16,12
2399,Toronto E11,46,"$22,948,999","$498,891","$507,500",44,76.7%,41,0.9,102%,18,16,12
2400,TREB Total,"5,188","$3,998,625,580","$770,745","$631,000","7,338",74.4%,"5,034",1.1,104%,19,17,1
2401,City of Toronto Total,"1,904","$1,385,975,556","$727,928","$539,900","2,886",71.5%,"2,230",1.3,104%,20,17,1
2402,Toronto West,471,"$301,529,762","$640,191","$548,000",753,72.4%,640,1.3,103%,22,17,1
2403,Toronto W01,28,"$23,333,699","$833,346","$529,500",35,77.6%,28,1.1,103%,26,17,1
2404,Toronto W02,36,"$31,803,953","$883,443","$915,000",53,76.8%,30,0.8,105%,17,17,1
2405,Toronto W03,29,"$19,533,817","$673,580","$650,000",47,75.5%,29,0.9,106%,15,17,1
2406,Toronto W04,39,"$22,381,688","$573,889","$508,500",60,69.7%,58,1.4,101%,25,17,1
2407,Toronto W05,68,"$32,817,725","$482,614","$416,000",104,69.1%,117,1.7,101%,29,17,1
2408,Toronto W06,77,"$42,863,830","$556,673","$462,600",166,66.1%,168,1.8,101%,28,17,1
2409,Toronto W07,16,"$19,349,700","$1,209,356","$1,130,000",20,74.9%,13,1.0,108%,19,17,1
2410,Toronto W08,89,"$62,545,059","$702,753","$425,000",147,75.5%,111,1.3,105%,17,17,1
2411,Toronto W09,31,"$20,710,211","$668,071","$751,111",36,76.1%,17,1.1,106%,20,17,1
2412,Toronto W10,58,"$26,190,080","$451,553","$347,250",85,72.9%,69,1.2,101%,21,17,1
2413,Toronto Central,963,"$781,929,240","$811,972","$518,000","1,533",69.5%,"1,235",1.5,103%,21,17,1
2414,Toronto C01,332,"$190,741,978","$574,524","$477,400",494,69.4%,378,1.6,103%,22,17,1
2415,Toronto C02,38,"$47,892,571","$1,260,331","$954,009",110,55.6%,133,2.4,104%,28,17,1
2416,Toronto C03,18,"$17,513,380","$972,966","$980,000",50,65.8%,49,1.5,104%,15,17,1
2417,Toronto C04,31,"$44,933,718","$1,449,475","$1,400,000",63,66.9%,68,1.2,102%,26,17,1
2418,Toronto C06,18,"$14,844,700","$824,706","$459,000",24,73.9%,17,1.1,108%,16,17,1
2419,Toronto C07,90,"$76,088,831","$845,431","$545,000",110,70.7%,73,1.3,102%,19,17,1
2420,Toronto C08,92,"$51,302,438","$557,635","$513,750",181,69.9%,171,1.5,101%,22,17,1
2421,Toronto C09,6,"$8,859,000","$1,476,500","$1,192,500",15,69.5%,22,1.7,100%,13,17,1
2422,Toronto C10,38,"$33,515,450","$881,986","$640,000",67,70.5%,49,1.2,105%,20,17,1
2423,Toronto C11,23,"$16,648,100","$723,830","$377,000",26,78.4%,15,1.0,109%,22,17,1
2424,Toronto C12,24,"$66,980,800","$2,790,867","$2,929,000",55,65.9%,64,2.0,103%,15,17,1
2425,Toronto C13,35,"$44,092,626","$1,259,789","$550,000",65,76.3%,41,1.0,109%,21,17,1
2426,Toronto C14,111,"$93,179,250","$839,453","$480,000",141,70.4%,85,1.5,103%,18,17,1
2427,Toronto C15,107,"$75,336,398","$704,078","$452,000",132,72.1%,70,1.3,103%,17,17,1
2428,Toronto East,470,"$302,516,554","$643,652","$640,250",600,75.0%,355,0.9,106%,18,17,1
2429,Toronto E01,33,"$30,682,720","$929,779","$829,000",45,79.7%,23,0.6,114%,17,17,1
2430,Toronto E02,18,"$16,452,443","$914,025","$869,000",26,76.7%,26,0.8,111%,15,17,1
2431,Toronto E03,35,"$29,777,367","$850,782","$890,000",60,76.6%,40,0.7,108%,21,17,1
2432,Toronto E04,62,"$36,651,988","$591,161","$675,400",67,74.3%,33,0.9,107%,19,17,1
2433,Toronto E05,61,"$39,817,440","$652,745","$483,000",76,73.9%,51,0.9,107%,20,17,1
2434,Toronto E06,19,"$14,674,014","$772,317","$730,000",26,67.7%,16,0.8,104%,18,17,1
2435,Toronto E07,42,"$18,575,588","$442,276","$325,750",75,70.3%,50,1.2,106%,14,17,1
2436,Toronto E08,37,"$30,446,599","$822,881","$730,000",46,76.8%,25,0.9,102%,14,17,1
2437,Toronto E09,70,"$33,351,085","$476,444","$359,000",81,77.3%,34,1.0,104%,16,17,1
2438,Toronto E10,42,"$28,231,200","$672,171","$683,750",47,71.8%,30,1.0,104%,24,17,1
2439,Toronto E11,51,"$23,856,110","$467,767","$440,500",51,77.4%,27,0.9,103%,20,17,1
2440,TREB Total,"8,014","$7,020,127,896","$875,983","$715,000","9,834",75.4%,"5,400",1.0,108%,13,17,2
2441,City of Toronto Total,"2,900","$2,491,638,578","$859,186","$608,500","3,586",72.8%,"2,298",1.2,108%,15,17,2
2442,Toronto West,759,"$537,363,457","$707,989","$600,000",956,73.6%,656,1.3,108%,17,17,2
2443,Toronto W01,33,"$26,017,974","$788,423","$598,000",52,77.1%,36,1.1,113%,17,17,2
2444,Toronto W02,57,"$53,873,380","$945,147","$875,000",79,76.2%,43,0.8,112%,12,17,2
2445,Toronto W03,57,"$41,791,800","$733,189","$750,000",79,75.1%,44,0.9,112%,14,17,2
2446,Toronto W04,75,"$50,369,525","$671,594","$570,000",86,72.4%,47,1.3,108%,17,17,2
2447,Toronto W05,92,"$48,892,800","$531,443","$551,250",103,70.8%,102,1.6,104%,21,17,2
2448,Toronto W06,153,"$94,881,195","$620,139","$510,000",194,67.9%,161,1.7,105%,19,17,2
2449,Toronto W07,19,"$25,191,000","$1,325,842","$1,220,000",24,75.3%,12,0.9,113%,13,17,2
2450,Toronto W08,156,"$135,571,335","$869,047","$570,000",198,77.7%,124,1.2,107%,16,17,2
2451,Toronto W09,38,"$26,147,637","$688,096","$737,500",39,77.5%,14,1.1,114%,14,17,2
2452,Toronto W10,79,"$34,626,811","$438,314","$325,000",102,73.8%,73,1.2,105%,16,17,2
2453,Toronto Central,"1,489","$1,469,053,018","$986,604","$576,000","1,851",71.1%,"1,260",1.4,107%,15,17,2
2454,Toronto C01,468,"$309,946,298","$662,278","$513,850",561,71.7%,377,1.5,103%,17,17,2
2455,Toronto C02,60,"$86,236,170","$1,437,270","$1,073,000",101,56.2%,148,2.4,105%,23,17,2
2456,Toronto C03,47,"$79,712,669","$1,696,014","$1,155,000",59,67.7%,40,1.4,106%,16,17,2
2457,Toronto C04,69,"$125,757,002","$1,822,565","$1,725,000",96,67.1%,74,1.2,106%,17,17,2
2458,Toronto C06,28,"$25,848,800","$923,171","$605,000",41,73.5%,21,1.0,112%,11,17,2
2459,Toronto C07,122,"$112,384,188","$921,182","$575,000",141,72.6%,72,1.2,106%,13,17,2
2460,Toronto C08,184,"$116,483,551","$633,063","$539,444",211,71.4%,153,1.4,106%,15,17,2
2461,Toronto C09,19,"$44,577,625","$2,346,191","$1,650,000",34,68.5%,27,1.7,103%,16,17,2
2462,Toronto C10,59,"$60,470,960","$1,024,932","$651,000",82,71.0%,60,1.2,110%,14,17,2
2463,Toronto C11,35,"$32,472,180","$927,777","$388,000",42,80.5%,20,0.9,111%,7,17,2
2464,Toronto C12,33,"$104,745,600","$3,174,109","$3,150,000",38,68.7%,51,1.9,103%,25,17,2
2465,Toronto C13,80,"$97,539,612","$1,219,245","$849,000",90,77.8%,41,1.0,121%,11,17,2
2466,Toronto C14,149,"$158,604,188","$1,064,458","$549,000",196,70.8%,104,1.4,106%,12,17,2
2467,Toronto C15,136,"$114,274,175","$840,251","$480,000",159,73.9%,72,1.2,113%,11,17,2
2468,Toronto East,652,"$485,222,103","$744,206","$730,000",779,75.6%,382,0.9,114%,12,17,2
2469,Toronto E01,52,"$48,804,771","$938,553","$842,500",68,79.2%,33,0.6,120%,11,17,2
2470,Toronto E02,42,"$46,521,180","$1,107,647","$998,000",66,76.7%,40,0.8,111%,18,17,2
2471,Toronto E03,70,"$67,811,655","$968,738","$945,000",86,76.9%,42,0.7,119%,10,17,2
2472,Toronto E04,68,"$45,891,338","$674,873","$715,000",93,75.1%,49,0.8,115%,12,17,2
2473,Toronto E05,87,"$64,873,288","$745,670","$601,800",86,74.9%,38,0.9,116%,14,17,2
2474,Toronto E06,33,"$27,796,088","$842,306","$780,000",39,67.4%,20,0.8,110%,9,17,2
2475,Toronto E07,69,"$43,859,152","$635,640","$410,000",64,72.0%,33,1.1,112%,12,17,2
2476,Toronto E08,35,"$24,983,499","$713,814","$721,000",58,75.7%,32,0.9,105%,10,17,2
2477,Toronto E09,99,"$54,638,606","$551,905","$432,880",112,78.2%,40,0.9,113%,10,17,2
2478,Toronto E10,44,"$33,877,377","$769,940","$805,500",54,72.6%,30,1.0,110%,21,17,2
2479,Toronto E11,53,"$26,165,149","$493,682","$510,000",53,79.2%,25,0.8,107%,12,17,2
2480,TREB Total,"12,077","$11,069,381,891","$916,567","$765,000","17,051",75.5%,"7,865",1.0,111%,10,17,3
2481,City of Toronto Total,"4,258","$3,829,866,009","$899,452","$680,000","5,740",73.6%,"2,809",1.2,112%,11,17,3
2482,Toronto West,"1,111","$863,871,149","$777,562","$668,000","1,457",74.2%,749,1.2,112%,12,17,3
2483,Toronto W01,60,"$51,439,311","$857,322","$595,500",82,76.5%,40,1.0,111%,10,17,3
2484,Toronto W02,105,"$100,864,361","$960,613","$900,000",116,78.1%,40,0.8,120%,8,17,3
2485,Toronto W03,68,"$49,315,782","$725,232","$776,750",91,76.1%,45,0.8,118%,9,17,3
2486,Toronto W04,106,"$80,547,185","$759,879","$742,500",167,71.1%,81,1.2,110%,15,17,3
2487,Toronto W05,136,"$78,118,000","$574,397","$485,000",168,71.3%,96,1.5,109%,20,17,3
2488,Toronto W06,207,"$138,113,042","$667,213","$550,000",275,69.3%,177,1.6,110%,13,17,3
2489,Toronto W07,33,"$40,005,989","$1,212,303","$1,155,000",40,76.4%,17,0.9,120%,7,17,3
2490,Toronto W08,226,"$225,816,750","$999,189","$763,000",288,78.6%,143,1.1,110%,10,17,3
2491,Toronto W09,56,"$40,479,777","$722,853","$659,750",85,76.7%,30,1.0,117%,8,17,3
2492,Toronto W10,114,"$59,170,952","$519,043","$409,500",145,74.3%,80,1.1,108%,15,17,3
2493,Toronto Central,"2,166","$2,174,174,475","$1,003,774","$629,995","2,951",72.3%,"1,507",1.3,110%,11,17,3
2494,Toronto C01,682,"$458,274,729","$671,957","$565,000",921,73.7%,461,1.4,108%,11,17,3
2495,Toronto C02,101,"$142,236,988","$1,408,287","$1,150,000",166,57.3%,147,2.3,106%,19,17,3
2496,Toronto C03,67,"$115,300,074","$1,720,897","$1,230,000",83,68.1%,44,1.3,110%,15,17,3
2497,Toronto C04,100,"$182,982,158","$1,829,822","$1,861,625",144,67.1%,86,1.2,116%,9,17,3
2498,Toronto C06,62,"$68,667,800","$1,107,545","$892,500",82,74.4%,33,0.9,117%,11,17,3
2499,Toronto C07,157,"$158,604,833","$1,010,222","$647,000",238,72.7%,114,1.2,111%,8,17,3
2500,Toronto C08,260,"$175,807,093","$676,181","$598,500",349,72.5%,184,1.3,108%,12,17,3
2501,Toronto C09,24,"$45,342,788","$1,889,283","$984,350",45,70.9%,41,1.6,103%,14,17,3
2502,Toronto C10,88,"$73,616,695","$836,553","$574,000",90,74.9%,44,1.0,113%,10,17,3
2503,Toronto C11,54,"$50,640,386","$937,785","$430,000",65,80.9%,22,0.8,115%,9,17,3
2504,Toronto C12,47,"$163,655,206","$3,482,026","$3,510,000",66,68.2%,53,1.8,104%,18,17,3
2505,Toronto C13,90,"$107,477,841","$1,194,198","$925,000",131,78.6%,64,0.9,118%,8,17,3
2506,Toronto C14,230,"$254,409,845","$1,106,130","$623,000",294,72.2%,108,1.3,109%,9,17,3
2507,Toronto C15,204,"$177,158,039","$868,422","$546,900",277,74.9%,106,1.1,115%,7,17,3
2508,Toronto East,981,"$791,820,385","$807,156","$805,000","1,332",75.7%,553,0.8,118%,8,17,3
2509,Toronto E01,74,"$72,645,441","$981,695","$966,500",90,80.6%,35,0.6,122%,6,17,3
2510,Toronto E02,67,"$75,061,744","$1,120,325","$1,053,000",83,74.3%,41,0.8,117%,12,17,3
2511,Toronto E03,96,"$97,924,297","$1,020,045","$995,500",128,76.6%,52,0.6,120%,8,17,3
2512,Toronto E04,134,"$94,636,695","$706,244","$778,500",170,75.7%,63,0.8,118%,8,17,3
2513,Toronto E05,114,"$96,211,105","$843,957","$706,500",162,75.0%,65,0.9,118%,9,17,3
2514,Toronto E06,45,"$43,167,900","$959,287","$775,000",77,67.4%,39,0.8,112%,8,17,3
2515,Toronto E07,103,"$68,092,297","$661,090","$480,000",147,72.4%,59,1.0,119%,7,17,3
2516,Toronto E08,73,"$59,660,718","$817,270","$807,000",87,77.8%,29,0.8,113%,8,17,3
2517,Toronto E09,119,"$75,491,191","$634,380","$560,000",167,78.4%,73,0.9,119%,6,17,3
2518,Toronto E10,71,"$59,614,131","$839,636","$865,900",114,71.3%,56,1.0,118%,12,17,3
2519,Toronto E11,85,"$49,314,866","$580,175","$605,000",107,79.3%,41,0.8,115%,7,17,3
2520,TREB Total,"11,630","$10,708,804,074","$920,791","$760,000","21,630",72.6%,"12,926",1.0,110%,9,17,4
2521,City of Toronto Total,"4,164","$3,930,596,896","$943,947","$715,000","7,015",72.4%,"4,218",1.1,111%,10,17,4
2522,Toronto West,"1,068","$839,291,950","$785,854","$692,500","1,756",73.0%,"1,090",1.2,111%,11,17,4
2523,Toronto W01,61,"$51,197,405","$839,302","$658,000",100,75.2%,59,1.0,112%,10,17,4
2524,Toronto W02,93,"$101,671,266","$1,093,239","$1,025,000",154,75.3%,80,0.8,114%,8,17,4
2525,Toronto W03,83,"$65,231,100","$785,917","$768,800",142,74.1%,74,0.8,115%,9,17,4
2526,Toronto W04,89,"$69,601,049","$782,034","$730,000",161,70.3%,110,1.2,117%,9,17,4
2527,Toronto W05,113,"$70,833,300","$626,843","$662,000",210,70.2%,155,1.5,108%,12,17,4
2528,Toronto W06,209,"$129,300,590","$618,663","$512,500",312,69.3%,205,1.5,107%,15,17,4
2529,Toronto W07,33,"$40,528,312","$1,228,131","$1,350,990",58,74.6%,32,0.9,116%,13,17,4
2530,Toronto W08,215,"$204,952,138","$953,266","$748,000",338,76.7%,211,1.1,109%,9,17,4
2531,Toronto W09,56,"$47,338,002","$845,321","$740,000",102,75.5%,54,1.0,108%,11,17,4
2532,Toronto W10,116,"$58,638,788","$505,507","$395,000",179,73.3%,110,1.1,108%,10,17,4
2533,Toronto Central,"2,099","$2,267,734,246","$1,080,388","$680,000","3,506",71.7%,"2,201",1.2,110%,10,17,4
2534,Toronto C01,663,"$460,195,072","$694,110","$597,550","1,064",74.1%,665,1.3,109%,9,17,4
2535,Toronto C02,110,"$176,436,843","$1,603,971","$1,390,444",169,58.0%,167,2.2,106%,18,17,4
2536,Toronto C03,69,"$112,715,178","$1,633,553","$1,200,000",142,65.7%,87,1.2,111%,7,17,4
2537,Toronto C04,111,"$238,379,991","$2,147,567","$2,010,000",174,65.6%,114,1.2,109%,13,17,4
2538,Toronto C06,47,"$45,383,664","$965,610","$580,000",88,70.4%,60,1.0,116%,9,17,4
2539,Toronto C07,156,"$164,125,268","$1,052,085","$677,500",305,70.4%,185,1.1,109%,10,17,4
2540,Toronto C08,233,"$159,214,774","$683,325","$605,000",330,73.4%,225,1.2,109%,12,17,4
2541,Toronto C09,38,"$96,714,502","$2,545,118","$2,300,000",62,69.5%,49,1.6,108%,11,17,4
2542,Toronto C10,69,"$76,791,005","$1,112,913","$828,000",125,73.7%,78,1.0,115%,8,17,4
2543,Toronto C11,52,"$62,044,063","$1,193,155","$785,000",91,77.4%,42,0.8,110%,8,17,4
2544,Toronto C12,46,"$144,363,656","$3,138,340","$2,925,000",107,64.6%,84,1.9,107%,9,17,4
2545,Toronto C13,97,"$134,690,984","$1,388,567","$815,000",154,76.9%,81,0.9,116%,8,17,4
2546,Toronto C14,212,"$212,874,410","$1,004,125","$653,250",374,70.8%,192,1.2,113%,8,17,4
2547,Toronto C15,196,"$183,804,836","$937,780","$657,000",321,74.5%,172,1.1,111%,8,17,4
2548,Toronto East,997,"$823,570,700","$826,049","$795,000","1,753",73.3%,927,0.8,116%,8,17,4
2549,Toronto E01,64,"$69,931,898","$1,092,686","$1,067,500",120,76.4%,61,0.6,123%,6,17,4
2550,Toronto E02,100,"$108,651,437","$1,086,514","$1,015,000",129,74.3%,47,0.8,117%,10,17,4
2551,Toronto E03,91,"$91,656,030","$1,007,209","$975,000",177,71.5%,96,0.7,117%,8,17,4
2552,Toronto E04,126,"$87,193,119","$692,009","$749,500",205,73.8%,109,0.8,113%,8,17,4
2553,Toronto E05,119,"$97,609,588","$820,249","$701,000",214,72.8%,108,0.9,118%,8,17,4
2554,Toronto E06,42,"$40,250,086","$958,335","$891,500",84,63.8%,53,0.9,110%,13,17,4
2555,Toronto E07,99,"$72,475,829","$732,079","$520,000",197,70.3%,112,1.0,115%,8,17,4
2556,Toronto E08,58,"$49,726,000","$857,345","$877,500",110,74.3%,61,0.8,114%,6,17,4
2557,Toronto E09,138,"$87,807,234","$636,284","$633,000",235,77.1%,121,0.9,116%,8,17,4
2558,Toronto E10,78,"$67,020,779","$859,241","$850,000",141,69.6%,78,1.0,113%,8,17,4
2559,Toronto E11,82,"$51,248,700","$624,984","$655,000",141,77.0%,81,0.8,112%,8,17,4
2560,TREB Total,"10,196","$8,808,430,424","$863,910","$710,000","25,837",67.4%,"18,477",1.1,104%,11,17,5
2561,City of Toronto Total,"3,926","$3,532,330,617","$899,728","$675,000","8,451",69.2%,"5,829",1.1,106%,11,17,5
2562,Toronto West,"1,067","$834,388,642","$781,995","$689,000","2,171",69.7%,"1,524",1.2,106%,12,17,5
2563,Toronto W01,75,"$70,522,783","$940,304","$708,000",168,70.4%,106,1.0,105%,11,17,5
2564,Toronto W02,99,"$101,299,180","$1,023,224","$970,000",194,73.2%,105,0.8,111%,10,17,5
2565,Toronto W03,84,"$62,836,567","$748,054","$760,000",187,68.2%,116,0.9,110%,9,17,5
2566,Toronto W04,91,"$58,422,170","$642,002","$605,000",206,66.3%,161,1.3,107%,12,17,5
2567,Toronto W05,116,"$63,501,099","$547,423","$514,000",248,67.6%,214,1.5,103%,17,17,5
2568,Toronto W06,206,"$134,007,247","$650,521","$572,500",333,68.3%,211,1.4,105%,13,17,5
2569,Toronto W07,30,"$38,650,100","$1,288,337","$1,235,000",73,69.6%,52,1.0,108%,10,17,5
2570,Toronto W08,224,"$215,393,581","$961,578","$807,500",424,73.1%,286,1.1,104%,11,17,5
2571,Toronto W09,51,"$39,663,824","$777,722","$820,000",111,71.1%,82,1.0,106%,10,17,5
2572,Toronto W10,91,"$50,092,091","$550,463","$525,000",227,68.8%,191,1.2,105%,9,17,5
2573,Toronto Central,"1,958","$2,002,524,702","$1,022,740","$630,000","4,037",69.4%,"2,889",1.2,105%,12,17,5
2574,Toronto C01,647,"$447,123,040","$691,071","$556,000","1,233",72.9%,869,1.2,106%,11,17,5
2575,Toronto C02,100,"$172,308,543","$1,723,085","$1,335,000",182,59.4%,166,2.1,103%,18,17,5
2576,Toronto C03,77,"$126,670,318","$1,645,069","$1,200,000",135,63.5%,96,1.3,102%,16,17,5
2577,Toronto C04,100,"$186,618,238","$1,866,182","$1,650,000",243,61.6%,155,1.3,106%,10,17,5
2578,Toronto C06,39,"$37,099,888","$951,279","$605,000",99,66.5%,78,1.0,107%,10,17,5
2579,Toronto C07,117,"$104,521,842","$893,349","$651,000",322,66.3%,249,1.2,104%,10,17,5
2580,Toronto C08,256,"$159,805,068","$624,239","$549,000",421,72.5%,284,1.2,106%,10,17,5
2581,Toronto C09,50,"$122,395,869","$2,447,917","$1,970,000",79,68.6%,58,1.5,104%,15,17,5
