,Name,Sales,Dollar Volume,Average Price,Median Price,New listings,SNLR,Active listings,MI,Avg SP/LP,Avg DOM,year,month,day,date
122,Toronto West,986.0,506079259.0,513265.0,436750.0,1616.0,58.3,2055.0,2.5,101.0,22.0,2012,4,15,2012-04-15
123,Toronto W01,74.0,45414943.0,613715.0,580000.0,117.0,57.7,134.0,2.1,105.0,16.0,2012,4,15,2012-04-15
124,Toronto W02,107.0,67243240.0,628441.0,600000.0,162.0,68.1,129.0,1.3,105.0,14.0,2012,4,15,2012-04-15
125,Toronto W03,77.0,31648600.0,411021.0,393000.0,97.0,63.2,98.0,2.0,99.0,18.0,2012,4,15,2012-04-15
126,Toronto W04,82.0,30095788.0,367022.0,347250.0,146.0,58.9,194.0,2.7,99.0,26.0,2012,4,15,2012-04-15
127,Toronto W05,129.0,48540320.0,376282.0,379900.0,222.0,55.7,297.0,3.2,98.0,28.0,2012,4,15,2012-04-15
128,Toronto W06,124.0,55646120.0,448759.0,416750.0,254.0,48.6,416.0,3.2,101.0,30.0,2012,4,15,2012-04-15
129,Toronto W07,39.0,29340573.0,752322.0,710300.0,62.0,69.2,47.0,1.4,102.0,14.0,2012,4,15,2012-04-15
130,Toronto W08,200.0,139712602.0,698563.0,575000.0,309.0,60.4,399.0,2.3,100.0,22.0,2012,4,15,2012-04-15
131,Toronto W09,63.0,29161485.0,462881.0,533000.0,106.0,58.8,122.0,2.7,99.0,26.0,2012,4,15,2012-04-15
132,Toronto W10,91.0,29275588.0,321710.0,360000.0,141.0,57.1,219.0,2.9,99.0,20.0,2012,4,15,2012-04-15
133,Toronto Central,1762.0,1198313233.0,680087.0,483600.0,3132.0,57.3,3707.0,2.2,100.0,22.0,2012,4,15,2012-04-15
134,Toronto C01,445.0,210562154.0,473173.0,397000.0,886.0,52.6,1152.0,2.7,100.0,24.0,2012,4,15,2012-04-15
135,Toronto C02,72.0,74132529.0,1029618.0,880000.0,144.0,53.1,243.0,3.0,99.0,26.0,2012,4,15,2012-04-15
136,Toronto C03,61.0,63562898.0,1042015.0,605000.0,101.0,59.9,115.0,2.1,100.0,19.0,2012,4,15,2012-04-15
137,Toronto C04,116.0,134704477.0,1161245.0,1093000.0,199.0,59.8,202.0,1.9,102.0,16.0,2012,4,15,2012-04-15
138,Toronto C06,48.0,32998271.0,687464.0,695250.0,54.0,63.0,61.0,2.0,101.0,22.0,2012,4,15,2012-04-15
139,Toronto C07,135.0,79174148.0,586475.0,471000.0,254.0,60.0,261.0,1.9,100.0,20.0,2012,4,15,2012-04-15
140,Toronto C08,165.0,72628340.0,440172.0,404500.0,282.0,61.3,342.0,2.0,100.0,23.0,2012,4,15,2012-04-15
141,Toronto C09,43.0,48194800.0,1120809.0,606000.0,63.0,60.2,77.0,2.4,95.0,31.0,2012,4,15,2012-04-15
142,Toronto C10,76.0,53236160.0,700476.0,675000.0,120.0,66.9,93.0,1.5,104.0,12.0,2012,4,15,2012-04-15
143,Toronto C11,55.0,43400099.0,789093.0,670000.0,76.0,65.3,77.0,1.8,101.0,22.0,2012,4,15,2012-04-15
144,Toronto C12,43.0,75565700.0,1757342.0,1550000.0,84.0,53.2,144.0,3.3,99.0,23.0,2012,4,15,2012-04-15
145,Toronto C13,112.0,61851890.0,552249.0,452500.0,140.0,65.8,134.0,1.7,102.0,21.0,2012,4,15,2012-04-15
146,Toronto C14,196.0,136286706.0,695340.0,495750.0,409.0,57.3,442.0,1.8,101.0,18.0,2012,4,15,2012-04-15
147,Toronto C15,195.0,112015061.0,574436.0,428000.0,320.0,55.1,364.0,2.1,101.0,25.0,2012,4,15,2012-04-15
148,Toronto East,1177.0,526717168.0,447508.0,423000.0,1635.0,62.5,1559.0,1.8,102.0,20.0,2012,4,15,2012-04-15
149,Toronto E01,105.0,61777224.0,588355.0,572000.0,135.0,63.4,110.0,1.5,107.0,15.0,2012,4,15,2012-04-15
150,Toronto E02,96.0,69179300.0,720618.0,632400.0,148.0,64.8,102.0,1.2,103.0,13.0,2012,4,15,2012-04-15
151,Toronto E03,116.0,64267015.0,554026.0,516740.0,168.0,64.7,124.0,1.4,105.0,16.0,2012,4,15,2012-04-15
152,Toronto E04,139.0,49887390.0,358902.0,380000.0,192.0,61.5,203.0,2.0,100.0,26.0,2012,4,15,2012-04-15
153,Toronto E05,131.0,54483009.0,415901.0,375000.0,152.0,73.2,130.0,1.3,101.0,17.0,2012,4,15,2012-04-15
